outcome,price_band,lower_bound_decimal,upper_bound_decimal,lower_bound_cents,upper_bound_cents,buy_fill_count,buy_transaction_hash_count,weather_event_count,temperature_asset_count,buy_shares,buy_usd,buy_usd_share,buy_fill_share,average_fill_price,median_fill_price,max_single_fill_buy_usd,max_single_event_buy_usd
YES,0—1美分,0.0,0.01,0.0,1.0,112,112,19,22,6428.11068,30.747761,0.0275198765,0.28,0.005198081,0.006,4.10351,4.58898
YES,1—2美分,0.01,0.02,1.0,2.0,45,45,17,20,4631.837046,67.447724,0.0603670959,0.1125,0.0142543033,0.015,6.74435,11.10163
YES,2—5美分,0.02,0.05,2.0,5.0,77,77,26,32,4867.52177,155.173056,0.1388830667,0.1925,0.0326596279,0.0331652138,21.38564,38.18405
YES,5—10美分,0.05,0.1,5.0,10.0,38,38,16,19,1953.89434,142.260885,0.1273264089,0.095,0.0706306768,0.07,19.20056,36.13537
YES,10—15美分,0.1,0.15,10.0,15.0,62,62,20,22,2259.762304,270.576457,0.2421714767,0.155,0.1191092306,0.12,24.18089,30.08201
YES,15—20美分,0.15,0.2,15.0,20.0,19,19,6,7,720.631833,128.057529,0.1146141141,0.0475,0.1590785052,0.15,33.45112,57.00112
YES,20—30美分,0.2,0.3,20.0,30.0,22,22,15,15,1040.940157,247.081758,0.2211432394,0.055,0.222573438,0.2125648199,29.66757,42.84473
YES,30—40美分,0.3,0.4,30.0,40.0,24,24,3,3,166.075969,52.32667,0.0468334425,0.06,0.3108333336,0.3,12.80597,30.0
YES,40—50美分,0.4,0.5,40.0,50.0,1,1,1,1,50.0,23.621,0.0211412793,0.0025,0.46,0.46,23.621,23.621
YES,50—60美分,0.5,0.6,50.0,60.0,0,0,0,0,0,0,0.0,0.0,,,0,0
YES,60—70美分,0.6,0.7,60.0,70.0,0,0,0,0,0,0,0.0,0.0,,,0,0
YES,70—80美分,0.7,0.8,70.0,80.0,0,0,0,0,0,0,0.0,0.0,,,0,0
YES,80—90美分,0.8,0.9,80.0,90.0,0,0,0,0,0,0,0.0,0.0,,,0,0
YES,90—100美分,0.9,1.0,90.0,100.0,0,0,0,0,0,0,0.0,0.0,,,0,0
