event_key,weather_date,yes_temperature_buckets,bucket_details,join_order,most_expensive_yes_bucket,cheapest_yes_bucket,dominant_yes_bucket_by_usd,earliest_yes_bucket,has_adjacent_yes_pair,weighted_price_gap,expensive_bucket_buy_usd,cheap_bucket_buy_usd,expensive_bucket_buy_usd_share,cheap_bucket_buy_usd_share,funding_share_gap,most_expensive_is_dominant,cheapest_is_small_add_on,expensive_funding_exceeds_cheapest,cheapest_funding_exceeds_expensive,allocation_pattern,has_yes_buy_at_or_above_50c,high_50c_with_cheaper_adjacent_yes
2026-03-24__beijing__high,2026-03-24,"[""22°C"", ""20°C""]","[{""asset"": ""104460800836125738614876610922175549526108177937566285721121866641041197881596"", ""bucket_kind"": ""exact"", ""bucket_low"": ""22.0"", ""buy_shares"": 99.99333, ""buy_usd"": 9.999333, ""buy_usd_share"": 0.3519570699182254, ""fill_count"": 7, ""first_buy_time_cst"": ""2026-03-24T13:01:29+08:00"", ""first_buy_timestamp"": 1774328489, ""first_price"": 0.1, ""maximum_price"": 0.1, ""minimum_price"": 0.1, ""temperature_bucket"": ""22°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1}, {""asset"": ""108842583082174366514959372750606744882230733243117111800963050138612046813062"", ""bucket_kind"": ""exact"", ""bucket_low"": ""20.0"", ""buy_shares"": 141.008626, ""buy_usd"": 18.411328, ""buy_usd_share"": 0.6480429300817746, ""fill_count"": 5, ""first_buy_time_cst"": ""2026-03-24T16:16:53+08:00"", ""first_buy_timestamp"": 1774340213, ""first_price"": 0.33, ""maximum_price"": 0.3300000059, ""minimum_price"": 0.05, ""temperature_bucket"": ""20°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.13056880647854835}]","[""22°C"", ""20°C""]",20°C,22°C,20°C,22°C,false,0.030568806478548344,18.411328,9.999333,0.6480429300817746,0.3519570699182254,0.2960858601635492,true,false,true,false,EXPENSIVE_60_CHEAP_40,false,false
2026-04-01__beijing__high,2026-04-01,"[""19°C"", ""20°C""]","[{""asset"": ""21788854130404119294373390333252024478123245249350360413174309416496903980578"", ""bucket_kind"": ""exact"", ""bucket_low"": ""19.0"", ""buy_shares"": 90.3022, ""buy_usd"": 21.0, ""buy_usd_share"": 0.8350458400402095, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-01T02:36:25+08:00"", ""first_buy_timestamp"": 1774982185, ""first_price"": 0.21, ""maximum_price"": 0.21, ""minimum_price"": 0.21, ""temperature_bucket"": ""19°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.2325524738046249}, {""asset"": ""79655901785225530162334722713224485130321212954811278069168302992325795269878"", ""bucket_kind"": ""exact"", ""bucket_low"": ""20.0"", ""buy_shares"": 120.92, ""buy_usd"": 4.14832, ""buy_usd_share"": 0.16495415995979057, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-01T02:37:47+08:00"", ""first_buy_timestamp"": 1774982267, ""first_price"": 0.0343063182, ""maximum_price"": 0.0343063182, ""minimum_price"": 0.0343063182, ""temperature_bucket"": ""20°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.034306318226926896}]","[""19°C"", ""20°C""]",19°C,20°C,19°C,19°C,true,0.198246155577698,21.0,4.14832,0.8350458400402095,0.16495415995979057,0.670091680080419,true,true,true,false,EXPENSIVE_80_CHEAP_20,false,false
2026-04-03__beijing__high,2026-04-03,"[""22°C"", ""25°C""]","[{""asset"": ""112068224048996709807152953016654034317643575767253208480522510231784911312865"", ""bucket_kind"": ""exact"", ""bucket_low"": ""22.0"", ""buy_shares"": 71.539393, ""buy_usd"": 10.730909, ""buy_usd_share"": 0.6892701799510794, ""fill_count"": 6, ""first_buy_time_cst"": ""2026-04-03T01:53:31+08:00"", ""first_buy_timestamp"": 1775152411, ""first_price"": 0.15, ""maximum_price"": 0.1500000209, ""minimum_price"": 0.15, ""temperature_bucket"": ""22°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.15000000069891564}, {""asset"": ""26931255635868764004763764133078852808991634131985329606636531370023360540024"", ""bucket_kind"": ""exact"", ""bucket_low"": ""25.0"", ""buy_shares"": 60.06754, ""buy_usd"": 4.8376, ""buy_usd_share"": 0.3107298200489205, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-04-03T12:23:35+08:00"", ""first_buy_timestamp"": 1775190215, ""first_price"": 0.083, ""maximum_price"": 0.083, ""minimum_price"": 0.05, ""temperature_bucket"": ""25°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.08053600996478298}]","[""22°C"", ""25°C""]",22°C,25°C,22°C,22°C,false,0.06946399073413266,10.730909,4.8376,0.6892701799510794,0.3107298200489205,0.3785403599021589,true,false,true,false,EXPENSIVE_70_CHEAP_30,false,false
2026-04-05__beijing__high,2026-04-05,"[""20°C"", ""21°C""]","[{""asset"": ""50154875018612476846202703575007039237316003107042368831080496113341083426516"", ""bucket_kind"": ""exact"", ""bucket_low"": ""20.0"", ""buy_shares"": 28.1796, ""buy_usd"": 6.126, ""buy_usd_share"": 0.34113804006562143, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-04T23:43:29+08:00"", ""first_buy_timestamp"": 1775317409, ""first_price"": 0.2, ""maximum_price"": 0.2, ""minimum_price"": 0.2, ""temperature_bucket"": ""20°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.21739130434782608}, {""asset"": ""46378176533936676838978591057272071916665451734666991591155679041626452737921"", ""bucket_kind"": ""exact"", ""bucket_low"": ""21.0"", ""buy_shares"": 84.69416, ""buy_usd"": 11.83154, ""buy_usd_share"": 0.6588619599343785, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-05T13:36:03+08:00"", ""first_buy_timestamp"": 1775367363, ""first_price"": 0.1275087833, ""maximum_price"": 0.1275087833, ""minimum_price"": 0.1275087833, ""temperature_bucket"": ""21°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.13969723532295497}]","[""20°C"", ""21°C""]",20°C,21°C,21°C,20°C,true,0.07769406902487111,6.126,11.83154,0.34113804006562143,0.6588619599343785,-0.31772391986875703,false,false,false,true,CHEAP_70_EXPENSIVE_30,false,false
2026-04-07__beijing__high,2026-04-07,"[""18°C"", ""15°C"", ""14°C"", ""17°C""]","[{""asset"": ""79999602433317350855831261890926022795980547251209496044400409650714977058101"", ""bucket_kind"": ""exact"", ""bucket_low"": ""18.0"", ""buy_shares"": 70.965, ""buy_usd"": 5.22, ""buy_usd_share"": 0.24301755173317605, ""fill_count"": 5, ""first_buy_time_cst"": ""2026-04-06T20:38:55+08:00"", ""first_buy_timestamp"": 1775479135, ""first_price"": 0.075, ""maximum_price"": 0.075, ""minimum_price"": 0.07, ""temperature_bucket"": ""18°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0735573874445149}, {""asset"": ""93062708670233253111350818491065170924150528320677483561723472850586264602718"", ""bucket_kind"": ""exact"", ""bucket_low"": ""15.0"", ""buy_shares"": 49.5328, ""buy_usd"": 10.768, ""buy_usd_share"": 0.5013051718511188, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-07T02:53:37+08:00"", ""first_buy_timestamp"": 1775501617, ""first_price"": 0.2, ""maximum_price"": 0.2, ""minimum_price"": 0.2, ""temperature_bucket"": ""15°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.21739130434782608}, {""asset"": ""52559858945223204285610082965251896120426680161575582384609878141717746069571"", ""bucket_kind"": ""exact"", ""bucket_low"": ""14.0"", ""buy_shares"": 70.30619999999999, ""buy_usd"": 2.69193, ""buy_usd_share"": 0.12532303410672196, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-04-07T13:14:41+08:00"", ""first_buy_timestamp"": 1775538881, ""first_price"": 0.0455832799, ""maximum_price"": 0.0455832799, ""minimum_price"": 0.02, ""temperature_bucket"": ""14°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.038288657330363476}, {""asset"": ""71934444207950351021888368239253412740636607151350651195428632637998219265483"", ""bucket_kind"": ""exact"", ""bucket_low"": ""17.0"", ""buy_shares"": 90.28, ""buy_usd"": 2.8, ""buy_usd_share"": 0.13035424230898332, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-07T15:01:59+08:00"", ""first_buy_timestamp"": 1775545319, ""first_price"": 0.028, ""maximum_price"": 0.028, ""minimum_price"": 0.028, ""temperature_bucket"": ""17°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.031014621178555603}]","[""18°C"", ""15°C"", ""14°C"", ""17°C""]",15°C,17°C,15°C,18°C,true,0.18637668316927047,10.768,2.8,0.5013051718511188,0.13035424230898332,0.3709509295421355,true,true,true,false,APPROXIMATELY_EVEN,false,false
2026-04-08__beijing__high,2026-04-08,"[""21°C"", ""19°C"", ""18°C"", ""22°C""]","[{""asset"": ""49136435099649610693387938084484909811192020661178104186090756957030010312050"", ""bucket_kind"": ""exact"", ""bucket_low"": ""21.0"", ""buy_shares"": 46.15, ""buy_usd"": 11.5, ""buy_usd_share"": 0.3847015886502996, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-08T03:35:05+08:00"", ""first_buy_timestamp"": 1775590505, ""first_price"": 0.23, ""maximum_price"": 0.23, ""minimum_price"": 0.23, ""temperature_bucket"": ""21°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.24918743228602383}, {""asset"": ""68547951473763304109882389761203567487030040752343363060552513479230522078820"", ""bucket_kind"": ""exact"", ""bucket_low"": ""19.0"", ""buy_shares"": 198.30846, ""buy_usd"": 13.0745, ""buy_usd_share"": 0.43737225398333407, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-04-08T13:37:57+08:00"", ""first_buy_timestamp"": 1775626677, ""first_price"": 0.035, ""maximum_price"": 0.071, ""minimum_price"": 0.035, ""temperature_bucket"": ""19°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.06593011715183508}, {""asset"": ""5666953703845550667969629495338409841707634833382633673759286536957005327153"", ""bucket_kind"": ""exact"", ""bucket_low"": ""18.0"", ""buy_shares"": 97.45027999999999, ""buy_usd"": 1.9087999999999998, ""buy_usd_share"": 0.06385377325353842, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-04-08T13:38:41+08:00"", ""first_buy_timestamp"": 1775626721, ""first_price"": 0.017, ""maximum_price"": 0.0184992867, ""minimum_price"": 0.017, ""temperature_bucket"": ""18°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.019587424479437104}, {""asset"": ""819482920444969831184146893868464324970057544355584208537683213176556419354"", ""bucket_kind"": ""exact"", ""bucket_low"": ""22.0"", ""buy_shares"": 109.02908000000001, ""buy_usd"": 3.41, ""buy_usd_share"": 0.11407238411282797, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-04-08T14:40:25+08:00"", ""first_buy_timestamp"": 1775630425, ""first_price"": 0.031, ""maximum_price"": 0.031, ""minimum_price"": 0.031, ""temperature_bucket"": ""22°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.03127605956135739}]","[""21°C"", ""19°C"", ""18°C"", ""22°C""]",21°C,18°C,19°C,21°C,true,0.22960000780658674,11.5,1.9087999999999998,0.3847015886502996,0.06385377325353842,0.32084781539676116,false,true,true,false,CHEAP_60_EXPENSIVE_40,false,false
2026-04-10__beijing__high,2026-04-10,"[""28°C"", ""29°C"", ""27°C"", ""30°C or higher""]","[{""asset"": ""7314915972641966087518601253963962888209003108027579895112387864197250308361"", ""bucket_kind"": ""exact"", ""bucket_low"": ""28.0"", ""buy_shares"": 153.05474, ""buy_usd"": 15.632444000000001, ""buy_usd_share"": 0.41960046484355557, ""fill_count"": 4, ""first_buy_time_cst"": ""2026-04-10T02:17:37+08:00"", ""first_buy_timestamp"": 1775758657, ""first_price"": 0.0965712326, ""maximum_price"": 0.1, ""minimum_price"": 0.0965712326, ""temperature_bucket"": ""28°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.10213629450482879}, {""asset"": ""72851948402381344429998061411888232089833527553420043400232683084922512966013"", ""bucket_kind"": ""exact"", ""bucket_low"": ""29.0"", ""buy_shares"": 100.0, ""buy_usd"": 2.0, ""buy_usd_share"": 0.053683283924580896, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-10T03:17:35+08:00"", ""first_buy_timestamp"": 1775762255, ""first_price"": 0.02, ""maximum_price"": 0.02, ""minimum_price"": 0.02, ""temperature_bucket"": ""29°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.02}, {""asset"": ""5662461823834211128638062890763829339450710958343943212540617379823987546346"", ""bucket_kind"": ""exact"", ""bucket_low"": ""27.0"", ""buy_shares"": 94.29037, ""buy_usd"": 9.916611, ""buy_usd_share"": 0.266178121941311, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-04-10T14:27:41+08:00"", ""first_buy_timestamp"": 1775802461, ""first_price"": 0.0986956522, ""maximum_price"": 0.1, ""minimum_price"": 0.0986956522, ""temperature_bucket"": ""27°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.10517098405701451}, {""asset"": ""7481930545377259399054838205991077985864977698649883349267284590212568910181"", ""bucket_kind"": ""above"", ""bucket_low"": ""30.0"", ""buy_shares"": 85.95766, ""buy_usd"": 9.70649, ""buy_usd_share"": 0.2605381292905526, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-04-10T14:28:35+08:00"", ""first_buy_timestamp"": 1775802515, ""first_price"": 0.0650077651, ""maximum_price"": 0.224, ""minimum_price"": 0.0650077651, ""temperature_bucket"": ""30°C or higher"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.11292175706039462}]","[""28°C"", ""29°C"", ""27°C"", ""30°C or higher""]",30°C or higher,29°C,28°C,28°C,true,0.09292175706039461,9.70649,2.0,0.2605381292905526,0.053683283924580896,0.2068548453659717,false,true,true,false,CHEAP_70_EXPENSIVE_30,false,false
2026-04-12__beijing__high,2026-04-12,"[""28°C"", ""25°C"", ""24°C"", ""27°C""]","[{""asset"": ""12355713181172947592638013110236552574095728745534485211557343846492448080707"", ""bucket_kind"": ""exact"", ""bucket_low"": ""28.0"", ""buy_shares"": 596.22662, ""buy_usd"": 4.535984, ""buy_usd_share"": 0.27313581738469844, ""fill_count"": 11, ""first_buy_time_cst"": ""2026-04-12T13:14:15+08:00"", ""first_buy_timestamp"": 1775970855, ""first_price"": 0.035, ""maximum_price"": 0.035, ""minimum_price"": 0.002, ""temperature_bucket"": ""28°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.007607818651237008}, {""asset"": ""49477685169144210452458870402737327173031478570655958087296690009894183521127"", ""bucket_kind"": ""exact"", ""bucket_low"": ""25.0"", ""buy_shares"": 25.84244, ""buy_usd"": 4.98432, ""buy_usd_share"": 0.30013252191958795, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-12T13:17:51+08:00"", ""first_buy_timestamp"": 1775971071, ""first_price"": 0.177, ""maximum_price"": 0.177, ""minimum_price"": 0.177, ""temperature_bucket"": ""25°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1928734283604799}, {""asset"": ""101012057080355263453179390780222283811173366480159130386435335556779546171582"", ""bucket_kind"": ""exact"", ""bucket_low"": ""24.0"", ""buy_shares"": 95.54872, ""buy_usd"": 2.38716, ""buy_usd_share"": 0.14374365029242978, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-12T13:20:13+08:00"", ""first_buy_timestamp"": 1775971213, ""first_price"": 0.0225416431, ""maximum_price"": 0.0225416431, ""minimum_price"": 0.0225416431, ""temperature_bucket"": ""24°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.024983694182402445}, {""asset"": ""10956926699793678265867923869474856358247559887613039244361011186361177855267"", ""bucket_kind"": ""exact"", ""bucket_low"": ""27.0"", ""buy_shares"": 41.94196, ""buy_usd"": 4.6996, ""buy_usd_share"": 0.2829880104032838, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-12T15:54:47+08:00"", ""first_buy_timestamp"": 1775980487, ""first_price"": 0.1019878472, ""maximum_price"": 0.1019878472, ""minimum_price"": 0.1019878472, ""temperature_bucket"": ""27°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.11205008063523975}]","[""28°C"", ""25°C"", ""24°C"", ""27°C""]",25°C,28°C,25°C,28°C,true,0.1852656097092429,4.98432,4.535984,0.30013252191958795,0.27313581738469844,0.026996704534889504,true,false,true,false,CHEAP_70_EXPENSIVE_30,false,false
2026-04-17__beijing__high,2026-04-17,"[""23°C"", ""24°C""]","[{""asset"": ""27701208381100469664000365459050433484511931667472767504009623310903022070502"", ""bucket_kind"": ""exact"", ""bucket_low"": ""23.0"", ""buy_shares"": 266.20888, ""buy_usd"": 48.056088, ""buy_usd_share"": 0.9231598040943837, ""fill_count"": 26, ""first_buy_time_cst"": ""2026-04-17T15:11:24+08:00"", ""first_buy_timestamp"": 1776409884, ""first_price"": 0.3, ""maximum_price"": 0.3, ""minimum_price"": 0.1, ""temperature_bucket"": ""23°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.18052022907725693}, {""asset"": ""42156238997149464554701415866645010189156008782184891643471277650262676155936"", ""bucket_kind"": ""exact"", ""bucket_low"": ""24.0"", ""buy_shares"": 600.0, ""buy_usd"": 4.0, ""buy_usd_share"": 0.07684019590561626, ""fill_count"": 7, ""first_buy_time_cst"": ""2026-04-17T15:28:16+08:00"", ""first_buy_timestamp"": 1776410896, ""first_price"": 0.03, ""maximum_price"": 0.03, ""minimum_price"": 0.002, ""temperature_bucket"": ""24°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.006666666666666667}]","[""23°C"", ""24°C""]",23°C,24°C,23°C,23°C,true,0.17385356241059027,48.056088,4.0,0.9231598040943837,0.07684019590561626,0.8463196081887674,true,true,true,false,EXPENSIVE_80_CHEAP_20,false,false
2026-04-20__beijing__high,2026-04-20,"[""25°C"", ""26°C"", ""24°C""]","[{""asset"": ""34766905986732250775997663386127745415746373063658738522815120483776193653136"", ""bucket_kind"": ""exact"", ""bucket_low"": ""25.0"", ""buy_shares"": 817.39644, ""buy_usd"": 9.29042, ""buy_usd_share"": 0.5886636987698816, ""fill_count"": 6, ""first_buy_time_cst"": ""2026-04-20T14:08:10+08:00"", ""first_buy_timestamp"": 1776665290, ""first_price"": 0.049, ""maximum_price"": 0.049, ""minimum_price"": 0.002, ""temperature_bucket"": ""25°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.011365867950195624}, {""asset"": ""79270413354699908459082809248820915209211854253413428648539451034554953111700"", ""bucket_kind"": ""exact"", ""bucket_low"": ""26.0"", ""buy_shares"": 283.64, ""buy_usd"": 1.4182000000000001, ""buy_usd_share"": 0.08986061530000217, ""fill_count"": 10, ""first_buy_time_cst"": ""2026-04-20T14:09:40+08:00"", ""first_buy_timestamp"": 1776665380, ""first_price"": 0.005, ""maximum_price"": 0.005, ""minimum_price"": 0.005, ""temperature_bucket"": ""26°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.005000000000000001}, {""asset"": ""86977481214661899530641217151515216229266930262167926149165919447125010549209"", ""bucket_kind"": ""exact"", ""bucket_low"": ""24.0"", ""buy_shares"": 16.81536, ""buy_usd"": 5.0736, ""buy_usd_share"": 0.32147568593011633, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-20T15:08:10+08:00"", ""first_buy_timestamp"": 1776668890, ""first_price"": 0.28, ""maximum_price"": 0.28, ""minimum_price"": 0.28, ""temperature_bucket"": ""24°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.30172413793103453}]","[""25°C"", ""26°C"", ""24°C""]",24°C,26°C,25°C,25°C,true,0.2967241379310345,5.0736,1.4182000000000001,0.32147568593011633,0.08986061530000217,0.23161507063011416,false,true,true,false,CHEAP_70_EXPENSIVE_30,false,false
